slice_id,z_um,z_mm,relative_depth_percent,slice_zone
377,30160.0,30.16,86.8663594470046,top_75_100
378,30240.0,30.24,87.09677419354838,top_75_100
379,30320.0,30.32,87.32718894009217,top_75_100
380,30400.0,30.4,87.55760368663594,top_75_100
381,30480.0,30.48,87.78801843317973,top_75_100
382,30560.0,30.56,88.0184331797235,top_75_100
383,30640.0,30.64,88.24884792626729,top_75_100
384,30720.0,30.72,88.47926267281106,top_75_100
385,30800.0,30.8,88.70967741935483,top_75_100
386,30880.0,30.88,88.94009216589862,top_75_100
387,30960.0,30.96,89.17050691244239,top_75_100
388,31040.0,31.04,89.40092165898618,top_75_100
389,31120.0,31.12,89.63133640552995,top_75_100
390,31200.0,31.2,89.86175115207374,top_75_100
391,31280.0,31.28,90.09216589861751,top_75_100
392,31360.0,31.36,90.32258064516128,top_75_100
393,31440.0,31.44,90.55299539170507,top_75_100
394,31520.0,31.52,90.78341013824884,top_75_100
395,31600.0,31.6,91.01382488479263,top_75_100
396,31680.0,31.68,91.24423963133641,top_75_100
397,31760.0,31.76,91.47465437788019,top_75_100
398,31840.0,31.84,91.70506912442397,top_75_100
399,31920.0,31.92,91.93548387096774,top_75_100
400,32000.0,32.0,92.16589861751152,top_75_100
401,32080.0,32.08,92.3963133640553,top_75_100
402,32160.0,32.16,92.62672811059907,top_75_100
403,32240.0,32.24,92.85714285714286,top_75_100
404,32320.0,32.32,93.08755760368663,top_75_100
405,32400.0,32.4,93.31797235023042,top_75_100
406,32480.0,32.48,93.54838709677419,top_75_100
407,32560.0,32.56,93.77880184331798,top_75_100
408,32640.0,32.64,94.00921658986175,top_75_100
409,32720.0,32.72,94.23963133640552,top_75_100
410,32800.0,32.8,94.47004608294931,top_75_100
411,32880.0,32.88,94.70046082949308,top_75_100
412,32960.0,32.96,94.93087557603687,top_75_100
413,33040.0,33.04,95.16129032258065,top_75_100
414,33120.0,33.12,95.39170506912443,top_75_100
415,33200.0,33.2,95.6221198156682,top_75_100
416,33280.0,33.28,95.85253456221197,top_75_100
417,33360.0,33.36,96.08294930875576,top_75_100
418,33440.0,33.44,96.31336405529954,top_75_100
419,33520.0,33.52,96.54377880184332,top_75_100
420,33600.0,33.6,96.7741935483871,top_75_100
