z_index,z_position_mm,pores_fraction,resin_fraction,material_fraction,total_fraction
241,19.28,0.013015908332406274,0.21776615863833573,0.769217933029258,1.0
242,19.36,0.0134608966514629,0.21067415730337077,0.7758649460451663,1.0
243,19.44,0.014156190899988876,0.2074758037601513,0.7783680053398598,1.0
244,19.52,0.01518522638780732,0.206558015352097,0.7782567582600957,1.0
245,19.6,0.015157414617866282,0.20174657915229724,0.7830960062298364,1.0
246,19.68,0.015602402936922905,0.1906774947157637,0.7937201023473134,1.0
247,19.76,0.016965179664033818,0.1833908109912115,0.7996440093447547,1.0
248,19.84,0.01841139170096785,0.1803593280676382,0.801229280231394,1.0
249,19.92,0.02194348648347981,0.1819724107242185,0.7960841027923017,1.0
250,20.0,0.023862498609411503,0.18583824674602292,0.7902992546445656,1.0
251,20.080000000000002,0.025503393035932808,0.1891756591389476,0.7853209478251196,1.0
252,20.16,0.025253087106463457,0.18814662365112916,0.7866002892424074,1.0
253,20.240000000000002,0.024641228167760595,0.1867560351540772,0.7886027366781622,1.0
254,20.32,0.02394593391923462,0.19087217710535098,0.7851818889754144,1.0
255,20.400000000000002,0.02369562798976527,0.20041161419512737,0.7758927578151074,1.0
256,20.48,0.023473133830236956,0.20853265101791077,0.7679942151518523,1.0
257,20.56,0.022527533652241628,0.21159194571142506,0.7658805206363333,1.0
258,20.64,0.02046946267660474,0.21278785181888976,0.7667426855045055,1.0
259,20.72,0.019941039047724998,0.21195349872065858,0.7681054622316165,1.0
260,20.8,0.020024474357548113,0.21273222827900767,0.7672432973634442,1.0
261,20.88,0.020386027366781623,0.20761486260985648,0.7719991100233619,1.0
