slice_id,z_um,pore_fraction,resin_fraction,matrix_fraction,assigned_fraction,mean_intensity,std_intensity,mean_intensity_pores,mean_intensity_resin,mean_intensity_matrix,pore_object_count,mean_pore_area_um2,median_pore_area_um2,mean_pore_equivalent_diameter_um,median_pore_equivalent_diameter_um,resin_object_count,mean_resin_area_um2,median_resin_area_um2,mean_resin_equivalent_diameter_um,median_resin_equivalent_diameter_um,heterogeneity_index
66,5280.0,0.0029202358438091,0.1963510957837357,0.7970297029702971,0.9963010345978418,188.0059517187674,32.50589715460382,68.61904761904762,131.07620396600566,202.65754763067903,31,21677.41935483871,12800.0,144.16381037753268,127.66152972845846,254,177889.76377952757,121600.0,411.2432782694541,393.4792607492748,0.33810585661374054
67,5360.0,0.0030314829235732563,0.193736789409278,0.797724997218823,0.9944932695516743,187.99371453999333,32.454870632202145,67.12844036697248,131.13953488372093,202.5584841195133,29,24055.172413793105,12800.0,154.92775094229842,127.66152972845846,250,178329.6,131200.0,413.80409053698673,408.68591959466926,0.3387408138578532
68,5440.0,0.0038936477917454666,0.19810323729002113,0.7923017020803204,0.994298587162087,188.01994103904772,32.96091594153682,66.30714285714286,131.34030605082128,203.1093091828138,34,26352.941176470587,12800.0,161.21693850911402,127.66152972845846,241,189158.5062240664,140800.0,425.1521724093204,423.4053942720982,0.33538973022760876
69,5520.0,0.00436644788074313,0.20038380242518633,0.7901601957948604,0.9949104461007898,187.9816998553788,33.40462301147708,66.22929936305732,130.94573213046496,203.40002111858084,32,31400.0,19200.0,175.54303728827642,156.35280380893437,233,197905.57939914163,140800.0,433.6824067256717,423.4053942720982,0.3339545564094442
70,5600.0,0.0038380242518633884,0.20497274446545777,0.785626877294471,0.9944376460117922,187.9106129714095,33.55986456589183,64.47101449275362,131.18127544097695,203.6263098272444,27,32711.11111111111,6400.0,170.17945112459353,90.270333367641,243,194106.99588477367,128000.0,431.0382047354628,403.7012035232256,0.33146278631217746
71,5680.0,0.004588942040271443,0.20850483924796975,0.7820113472021359,0.9951051284903771,187.83905328735122,34.30284477529189,64.9090909090909,130.60744297719089,204.11704246390212,29,36413.793103448275,12800.0,181.90763252559273,127.66152972845846,246,195043.9024390244,121600.0,426.0140370251026,393.4792607492748,0.32911953313980363
72,5760.0,0.00525642451885638,0.21150851040160196,0.7791189231282679,0.9958838580487263,187.75959506062966,34.63601798399028,65.71428571428571,130.55161078238,204.33904476333262,35,34560.0,19200.0,182.4594279052692,156.35280380893437,246,197853.65853658537,137600.0,432.945109354247,418.5380149691055,0.3272078290153966
73,5840.0,0.0041439537212148185,0.2085604627878518,0.7828178885304261,0.9955223050394927,187.7083379686283,33.89880119318371,66.56375838926175,131.0777436991599,203.6945678047394,29,32882.75862068965,12800.0,176.5937907871113,127.66152972845846,258,186021.70542635658,118400.0,419.7006942773751,388.2319249673251,0.3296278704759755
74,5920.0,0.0038380242518633884,0.20666926243186115,0.7838747357881856,0.9943820224719101,187.66606407831793,33.65717806854217,66.55797101449275,131.19633965818866,203.46439595529537,35,25234.285714285714,6400.0,151.9619456909507,90.270333367641,258,184334.88372093023,102400.0,411.5663471565945,361.081333470564,0.33044817058697873
75,6000.0,0.004255200800978974,0.197296695961731,0.7927466903993771,0.994298587162087,187.62053621092446,33.482145729601925,64.32679738562092,130.0608965322808,202.9304658995229,36,27200.0,12800.0,158.5790190014078,127.66152972845846,241,188388.3817427386,140800.0,423.63868529666695,423.4053942720982,0.3355831647046662
76,6080.0,0.0037824007119813103,0.18956502391812216,0.8017298920903326,0.9950773167204361,187.56713761263768,32.65081684650981,66.23529411764706,129.82291666666666,202.04402123009677,36,24177.777777777777,6400.0,144.88848311421745,90.270333367641,243,179516.04938271604,128000.0,413.35833429167064,403.7012035232256,0.34091074229459384
77,6160.0,0.003142730003337412,0.1841973523195016,0.809100011124708,0.996440093447547,187.4674046056291,31.798558372300768,69.48672566371681,130.02868790578287,201.18362436408634,41,17639.024390243903,6400.0,128.75118159546838,90.270333367641,238,178097.47899159664,115200.0,412.9053634128416,382.9845891853754,0.34526177640812017
78,6240.0,0.0026421181443987097,0.18350205807097564,0.8102124819223495,0.9963566581377239,187.3461731004561,31.56812044235194,66.09473684210526,129.9307365868445,200.92650693395578,29,20965.51724137931,12800.0,147.83326051759505,127.66152972845846,232,182013.7931034483,118400.0,415.6697692306037,388.2319249673251,0.3460324592492357
79,6320.0,0.00350428301257092,0.18750695294248526,0.8043163866948493,0.9953276226499055,187.24151741016797,32.167185957949116,66.71428571428571,129.88312073568673,201.38609958506225,33,24436.363636363636,19200.0,161.01731275903447,156.35280380893437,237,182062.44725738396,115200.0,409.1357849283411,382.9845891853754,0.3424764201958184
80,6400.0,0.00408833018133274,0.19476582489709646,0.7964456558015353,0.9952998108799644,187.1812214929358,33.113829895649246,65.87755102040816,129.52491789233187,202.1661836086182,37,25427.027027027027,12800.0,158.66255579940693,127.66152972845846,230,194866.08695652173,124800.0,426.5147258044606,398.59023213625017,0.3376728622946366
81,6480.0,0.004616753810212482,0.200133496495717,0.7904661252642118,0.9952163755701413,187.16723217265547,33.6204733537142,64.144578313253,129.93399110617008,202.65283934979945,37,28713.513513513513,12800.0,164.56454802679923,127.66152972845846,224,205600.0,134400.0,434.39559066397186,413.67063566611284,0.33404567949004904
82,6560.0,0.005033930359328068,0.20138502614306375,0.7882411836689287,0.9946601401713205,187.17031927911893,33.65803559023445,65.58563535911603,130.26612346361,202.78085526780043,44,26327.272727272728,12800.0,157.9006471630269,127.66152972845846,236,196366.10169491524,96000.0,417.33791733854406,349.61549778946534,0.33272736655276886
83,6640.0,0.005117365669151185,0.20066192012459674,0.7894649015463344,0.9952441873400824,187.1577761708755,33.619332796042976,63.266304347826086,130.26431046431046,202.67061227365602,36,32711.11111111111,9600.0,169.23086569307847,108.96593154804972,237,194835.44303797468,89600.0,408.54011748941537,337.76065965158017,0.3333546127782637
