slice_id,z_um,pore_fraction,resin_fraction,matrix_fraction,mean_intensity,std_intensity,pore_object_count,mean_pore_equivalent_diameter_um,resin_object_count,mean_resin_equivalent_diameter_um,heterogeneity_index,PC1,PC2,is_anomaly,anomaly_score,anomaly_category
285,22800.0,0.0077316720436088,0.2150684169540549,0.7733340749805317,184.8771554121704,36.04741194879345,87,132.7961481467495,259,415.03680367933714,0.3233154823430694,-0.397360081931409,-0.7872660653041742,False,-0.15916626172960663,normal
286,22880.0,0.0076760485037267,0.2144565580153521,0.774947157637112,184.7714984981644,35.884078015993026,80,139.21886959251495,251,433.2350049049252,0.3241420892635104,-0.10182082315136443,-0.5458044691369168,False,-0.1675946676352572,normal
287,22960.0,0.0070085660251418,0.2160140171320503,0.7739181221492936,184.89203470908888,35.724032513412816,84,131.3096084160183,253,434.71764493684447,0.3237094953232737,-0.1297771956269319,-0.7611380472249407,False,-0.16147423504503938,normal
288,23040.0,0.0058126599176771,0.2179330292579819,0.7726665925019468,185.17107019690727,35.862175584402785,88,119.67491653994566,258,430.1485943701308,0.3233143175161445,-0.2114737147982064,-1.0456755251837078,False,-0.15005389673223957,normal
289,23120.0,0.004338636110802,0.2191011235955056,0.7729447102013572,185.5694459895428,35.63054056403917,61,124.2900057193344,253,436.5606881778549,0.3238005115609072,0.1371708965082739,-0.8591480598908963,False,-0.15529450938227385,normal
290,23200.0,0.0038658360218044,0.2207698297919679,0.7716931805540105,185.86644788074312,35.576969921812285,65,114.73402321700186,239,447.22270474288416,0.3231997510896495,0.28332482168740586,-0.9497346865965755,False,-0.13445402964436726,normal
291,23280.0,0.0049504950495049,0.2139837579263544,0.7774502169318055,186.09478251195907,35.50719271950847,75,122.31796814372974,249,429.88353058722265,0.3262489124241243,0.31203424800596635,-0.9347288702002785,False,-0.17107334973954696,normal
292,23360.0,0.0051729892090332,0.2067526977416842,0.7837634887084214,186.4118923128268,35.14984605176316,66,127.35369053301643,240,432.0964881734946,0.3299459547823072,0.8423215510097934,-0.7311491480286805,False,-0.17915252209921756,normal
293,23440.0,0.0051451774390922,0.2034987206585827,0.7877961953498721,186.7638224496607,34.87903160346912,69,121.57027190532824,253,417.9012258354017,0.3322131649801448,0.8964269774169794,-0.9899558685856442,False,-0.1808497142637785,normal
294,23520.0,0.004310824340861,0.2033874735788185,0.7887139837579263,186.92969184558905,34.73526544621029,54,123.67359301136784,246,434.8577896802116,0.3329209035681565,1.265945862962881,-0.8001880912018462,False,-0.1828833477193788,normal
295,23600.0,0.0053676715986205,0.2052786739348092,0.7854043831349428,187.04958838580487,34.91649470698449,51,139.38043076100902,235,440.6248006122116,0.3308184326912098,1.1751914182397933,-0.3981073897156902,False,-0.18449151176702555,normal
296,23680.0,0.0051729892090332,0.2018022026921793,0.7897430192457447,187.3107130937813,34.77346579647501,43,148.40266677009595,216,464.11072053194215,0.3333145967061549,1.7754235198292605,-0.002201305115642903,False,-0.14213673918572145,normal
297,23760.0,0.0054232951385026,0.1942095894982756,0.7973912559795305,187.5520636333296,34.072355303864555,53,138.16931775783124,248,405.1913002240784,0.3377509994583279,1.5197443528799113,-0.7239499355397349,False,-0.17580656801935812,normal
298,23840.0,0.0048114361997997,0.1912059183446434,0.80058960952275,187.736316609189,33.48000360330689,61,126.88874158739188,231,417.3185986959116,0.3398290889362393,1.9417803306600854,-0.9068545933686609,False,-0.1626265672672213,normal
299,23920.0,0.0039492713316275,0.1924574479919902,0.799143397485816,187.86138613861385,33.18112858465784,56,121.13440166313646,238,422.244104061934,0.3392699469696599,1.9777909700243703,-1.0633315576719815,False,-0.16392718381810056,normal
300,24000.0,0.0049504950495049,0.1889809767493603,0.8017855156302147,187.8294304149516,33.17876137339254,78,119.75614425293112,249,409.98878511363387,0.3406436181197648,1.785885299079959,-1.2641206813512902,False,-0.1497836399111908,normal
301,24080.0,0.0033930359328067,0.1921237067526977,0.8009511625319835,187.6864222939148,33.05788679727912,57,118.33447098758748,248,419.3923870980472,0.340324861520935,1.967077689806116,-1.2225091760973776,False,-0.15499311117459663,normal
302,24160.0,0.0029480476137501,0.2007731672043609,0.7930804316386695,187.63054844810324,33.60114905573696,61,109.11095181583582,242,431.31984780827815,0.3357035494016172,1.633105815121493,-1.2973704489209423,False,-0.15513130688486554,normal
303,24240.0,0.0031983535432194,0.2056680387139837,0.788463677828457,187.6359995550117,34.465223791050335,56,115.77459295881924,238,433.575686630236,0.3328807527410103,1.379658546769462,-1.0132106032091788,False,-0.16171401005760333,normal
304,24320.0,0.0037824007119813,0.2105350984536655,0.7833741239292469,187.76123595505615,34.85034164045129,56,125.94354063610056,236,431.5958964905752,0.3297565570134266,1.0470382387660968,-0.8088461762287189,False,-0.1733934984723609,normal
305,24400.0,0.0033652241628657,0.2077261096896206,0.786322171542997,188.04232951385023,34.45261997273747,40,135.74022121280902,241,431.3396243786703,0.3315884925922371,1.3228362179525364,-0.6423152586374365,False,-0.17317958568586234,normal
306,24480.0,0.0029480476137501,0.205111803315163,0.7891589720769829,188.27605962843475,34.335020651267016,46,122.32777587204322,242,429.9480423925207,0.3333514823731401,1.4965157827685425,-0.9059639805762483,False,-0.1639444490559464,normal
307,24560.0,0.0034764712426298,0.1978251195906107,0.7944710201357215,188.32075314273,34.31063222452794,55,122.20891329826534,210,449.23603931678974,0.3365561046394227,2.1088459988591235,-0.6267910888399375,False,-0.130351474928241,normal
308,24640.0,0.0038658360218044,0.1918734008232284,0.799143397485816,188.35640783179443,34.14282414481736,54,129.9008966430282,226,429.9564274459669,0.3393768952125982,2.121675990872941,-0.6337644344007486,False,-0.15764326008487006,normal
309,24720.0,0.0035320947825119,0.1824730225831572,0.8089053287351207,188.19112248303483,33.275455530603615,57,116.3557325407848,241,404.8918460728987,0.3452959014140877,2.406438884867463,-1.1507257006782514,False,-0.12591655704617155,normal
310,24800.0,0.0047001891200355,0.1822505284236288,0.8089331405050617,187.98957058627207,33.329548483566626,80,114.7478023091488,238,402.9226370511024,0.3449711516707671,2.1923996847347484,-1.2624587518701502,False,-0.11308048249891084,normal
311,24880.0,0.0043664478807431,0.1867560351540772,0.8052063633329625,187.795305373234,33.630301863918945,68,119.27128703374692,237,409.1793092561456,0.3427164912142438,2.0733915213873106,-1.0859003211047782,False,-0.14515149801560234,normal
312,24960.0,0.0052564245188563,0.195183001446212,0.7960841027923017,187.47911336077428,34.66660951999331,76,125.34478690260578,229,431.9436760600098,0.3370728004033244,1.635372008351581,-0.7410443297522499,False,-0.15255167851891915,normal
313,25040.0,0.0052564245188563,0.20369340304817,0.787017465791523,187.20333185003892,35.46704202806305,61,136.50327402104696,225,443.1540517232039,0.3317955398325531,1.2720353104956328,-0.3329719759135343,False,-0.1685662561435194,normal
314,25120.0,0.0059517187673823,0.2070586272110357,0.7821782178217822,187.07144843697853,35.915865119101056,85,121.84965239941808,206,468.6054130083325,0.3289265554568353,1.1806876100529025,-0.4023194705047838,False,-0.10029948224347679,normal
315,25200.0,0.0055623539882078,0.2075314273000333,0.7830125709200133,187.1638669484926,35.653733168354684,64,133.81848294753763,204,467.3178830528357,0.3293763286785613,1.3475726329668443,-0.1586924901609486,False,-0.11065304200501902,normal
316,25280.0,0.0063410835465569,0.1954333073756813,0.7938591611970186,187.52633774613415,35.089208205493065,81,123.90722244805367,217,435.876524432582,0.3356675098070706,1.5778618711115355,-0.5934388652607087,False,-0.13962664594278373,normal
317,25360.0,0.0072310601846701,0.1818611636444543,0.8064857047502503,187.81124151741017,34.323179503731495,88,126.88556095847052,225,415.85884271682113,0.343100159857091,2.061076497454854,-0.7097494490461594,False,-0.1044697256988098,normal
318,25440.0,0.0060629658471465,0.1751863388586049,0.8139948826343308,188.0684447658249,33.57969905469088,75,127.1897678127539,211,430.2801018365776,0.3479196990786891,2.8577262919442754,-0.6045470368199669,False,-0.07338348153117702,normal
319,25520.0,0.0045333185003893,0.1755757036377795,0.8144954944932695,188.54728000889975,32.9523791219727,69,120.77596980438324,208,439.2155114199195,0.3485705290021314,3.1551830847703988,-0.7751144749293252,False,-0.06622992908755493,normal
320,25600.0,0.0034208477027478,0.1765769273556569,0.815496718211147,189.1327733896985,32.5992413866885,53,124.95373740942432,223,421.9289954172989,0.3492322924055566,3.1490636613144516,-0.8855791026584098,False,-0.08459262158706815,normal
